Rk,Player,Tm,Salary17to18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
200,Marcus Morris,BOS,5000000,5375000,,,,,Bird Rights,10375000
206,Jaylen Brown,BOS,4956480,5169960,6534829,,,,1st Rd pick,10126440
211,Marcus Smart,BOS,4538020,,,,,,1st Round Pick,4538020
217,Aron Baynes,BOS,4328000,,,,,,Room Exception,4328000
307,Guerschon Yabusele,BOS,2247480,2667600,3117240,4781846,,,1st Round Pick,4915080
332,Terry Rozier,BOS,1988520,3050390,,,,,1st round pick,5038910
371,Shane Larkin,BOS,1524305,,,,,,Minimum Salary,1524305
443,Semi Ojeleye,BOS,1291892,1378242,1618520,1752950,,,,2193857
445,Abdel Nader,BOS,1167333,1378242,1618520,1752950,,,,1617333
472,Daniel Theis,BOS,815615,1378242,,,,,Minimum Salary,815615
495,Demetrius Jackson,BOS,92858,92857,92857,92857,92857,,,650000
44,Allen Crabbe,BRK,19332500,18500000,18500000,,,,Cap Space,37832500
74,Timofey Mozgov,BRK,15280000,16000000,16720000,,,,Cap Space,48000000
76,DeMarre Carroll,BRK,14800000,15400000,,,,,Cap Space,30200000
104,Jeremy Lin,BRK,12000000,12516746,,,,,Cap Space,12000000
188,D'Angelo Russell,BRK,5562360,7019698,,,,,1st round pick,12582058
192,Deron Williams,BRK,5500000,5500000,5500000,,,,,16500000
203,Jahlil Okafor,BRK,4995120,,,,,,1st round pick,4995120
231,Nik Stauskas,BRK,3807146,,,,,,1st Round Pick,3807146
346,Jarrett Allen,BRK,1713720,2034120,2376840,3909902,,,1st Round Pick,3747840
348,Tyler Zeller,BRK,1709538,1933941,,,,,,1709538
349,Quincy Acy,BRK,1709538,,,,,,,
355,Caris LeVert,BRK,1632480,1702800,2625718,,,,1st Round pick,3335280
369,Sean Kilpatrick,BRK,1524305,,,,,,,1524305
370,Joe Harris,BRK,1524305,,,,,,Minimum Salary,1524305
372,Spencer Dinwiddie,BRK,1524305,1656092,,,,,Minimum Salary,250000
380,Rondae Hollis-Jefferson,BRK,1471382,2470357,,,,,1st Round pick,3941739
428,Isaiah Whitehead,BRK,1312611,1544951,1676735,,,,Cap Space,1312611
70,Dwyane Wade,CHI,15550000,,,,,,,15550000
86,Robin Lopez,CHI,13788500,14357750,,,,,Cap Space,28146250
97,Nikola Mirotic,CHI,12500000,12500000,,,,,Cap space,12500000
145,Cristiano Felicio,CHI,7843500,8470980,8156500,7529020,,,Cap space,32000000
209,Justin Holiday,CHI,4615385,4384616,,,,,MLE,9000001
225,Kris Dunn,CHI,4046760,4221000,5348007,,,,1st Round pick,8267760
229,Quincy Pondexter,CHI,3853931,,,,,,1st Round Pick,3853931
230,Lauri Markkanen,CHI,3821640,4536120,5300400,6731508,,,1st Round Pick,8357760
250,Zach LaVine,CHI,3202217,,,,,,1st Round Pick,3202217
260,Rajon Rondo,CHI,3000000,,,,,,,3000000
309,Cameron Payne,CHI,2203440,3263295,,,,,1st round pick,5466735
310,Denzel Valentine,CHI,2186400,2280600,3377569,,,,1st Round pick,4467000
345,Jerian Grant,CHI,1713840,2639314,,,,,1st Round pick,4353154
375,Bobby Portis,CHI,1516320,2494346,,,,,1st Round pick,4010666
427,Paul Zipser,CHI,1312611,1544951,1676735,,,,Cap Space,1312611
431,Kay Felder,CHI,1312611,1544951,,,,,Minimum Salary,456529
441,David Nwaba,CHI,1312611,,,,,,,
488,Isaiah Canaan,CHI,200000,,,,,,,200000
24,Dwight Howard,CHO,23500000,23819725,,,,,Cap Space,47319725
34,Nicolas Batum,CHO,22434783,24000000,25565217,27130434,,,Cap Space,72000000
89,Marvin Williams,CHO,13168750,14087500,15006250,,,,Cap Space,27256250
91,Michael Kidd-Gilchrist,CHO,13000000,13000000,13000000,,,,1st Round Pick,26000000
95,Cody Zeller,CHO,12584270,13528090,14471910,15415730,,,1st Round Pick,56000000
102,Kemba Walker,CHO,12000000,12000000,,,,,1st Round Pick,24000000
159,Jeremy Lamb,CHO,7000000,7488372,,,,,Rookie scale extension,14488372
263,Malik Monk,CHO,2904480,3447480,4028400,5345687,,,1st Round Pick,6351960
264,Frank Kaminsky,CHO,2847600,3627842,,,,,1st round pick,6475442
269,Michael Carter-Williams,CHO,2700000,,,,,,Bi-annual Exception,2700000
367,Johnny O'Bryant,CHO,1524305,,,,,,Minimum Salary,1524305
368,Julyan Stone,CHO,1524305,1656092,,,,,Minimum Salary,1524305
435,Treveon Graham,CHO,1312611,,,,,,Minimum Salary,75000
464,Dwayne Bacon,CHO,815615,1378242,1618520,,,,MLE,2193857
2,LeBron James,CLE,33285709,35607968,,,,,Early Bird,33285709
29,Kevin Love,CLE,22642350,24119025,25595700,,,,Bird Rights,46761375
66,Tristan Thompson,CLE,16400000,17469565,18539130,,,,Bird Rights,52408695
87,J.R. Smith,CLE,13760000,14720000,15680000,,,,Bird Rights,32350000
122,Iman Shumpert,CLE,10337079,11011234,,,,,Bird Rights,10337079
153,Channing Frye,CLE,7420912,,,,,,Cap Space,7420912
158,Kyle Korver,CLE,7000000,7560000,7500000,,,,Bird Rights,18000000
162,Jae Crowder,CLE,6796117,7305825,7815533,,,,Bird Rights,21917475
171,Isaiah Thomas,CLE,6261395,,,,,,,6261395
271,Cedi Osman,CLE,2642857,2775000,2907143,,,,MLE,8325000
298,Jose Calderon,CLE,2328652,,,,,,Minimum Salary,2328652
299,Dwyane Wade,CLE,2328652,,,,,,Minimum Salary,2328652
321,Derrick Rose,CLE,2116955,,,,,,Minimum Salary,2116955
322,Jeff Green,CLE,2116955,,,,,,Minimum Salary,2116955
354,Ante Zizic,CLE,1645200,1952760,2281800,3872215,,,1st Round Pick,3597960
26,Harrison Barnes,DAL,23112004,24107258,25102512,,,,Cap Space,47219262
52,Wesley Matthews,DAL,17884176,18622514,,,,,Cap Space,17884176
134,Dwight Powell,DAL,9003125,9631250,10259375,,,,Cap Space,18634375
176,Josh McRoberts,DAL,6021175,,,,,,MLE,6021175
201,Dirk Nowitzki,DAL,5000000,5000000,,,,,Cap space,5000000
214,Devin Harris,DAL,4402546,,,,,,Cap Space,1339662
219,Nerlens Noel,DAL,4187599,,,,,,1st Round Pick,4187599
228,J.J. Barea,DAL,3903900,3710850,,,,,Cap Space,7614750
249,Dennis Smith,DAL,3218280,3819960,4463640,5686677,,,1st Round Pick,7038240
257,Seth Curry,DAL,3028410,,,,,,Room exception,3028410
358,Jeff Withey,DAL,1577320,1795015,,,,,Minimum Salary,350000
393,Salah Mejri,DAL,1471382,,,,,,Minimum Salary,1471382
426,Yogi Ferrell,DAL,1312611,,,,,,Minimum Salary,1312611
433,Dorian Finney-Smith,DAL,1312611,1544951,,,,,Minimum Salary,150000
471,Maxi Kleber,DAL,815615,1378242,,,,,Minimum Salary,815615
484,Gal Mekel,DAL,315760,,,,,,,315760
3,Paul Millsap,DEN,31269231,29730769,30500000,,,,Cap space,61000000
83,Mason Plumlee,DEN,14041096,12917808,14041096,,,,Cap space,41000000
93,Kenneth Faried,DEN,12921348,13764045,,,,,1st Round Pick,26685393
101,Wilson Chandler,DEN,12016854,12800562,,,,,,12016854
151,Darrell Arthur,DEN,7464912,7464912,,,,,Cap Space,7464912
207,Jameer Nelson,DEN,4736050,,,,,,,4736050
234,Will Barton,DEN,3533333,,,,,,Bird Rights,3533333
240,Emmanuel Mudiay,DEN,3381480,4294480,,,,,1st round pick,7675960
241,Jamal Murray,DEN,3355320,3499800,4444746,,,,1st Round pick,6855120
274,Gary Harris,DEN,2550055,16517857,17839286,19160714,20482143,,1st Round Pick,76550055
283,Trey Lyles,DEN,2441400,3364249,,,,,1st round pick,5805649
297,Richard Jefferson,DEN,2328652,,,,,,Minimum Salary,2328652
328,Juan Hernangomez,DEN,2076840,2166360,3321030,,,,1st Round pick,4243200
350,Malik Beasley,DEN,1700640,1773840,2731714,,,,1st Round pick,3474480
357,Tyler Lydon,DEN,1579440,1874640,2190720,,,,1st Round Pick,3454080
392,Nikola Jokic,DEN,1471382,1600520,,,,,,1471382
22,Andre Drummond,DET,23775506,25434263,27093019,28751775,,,Cap Space,76302788
67,Reggie Jackson,DET,16000000,17043478,18086956,,,,Bird Rights,51130434
69,Tobias Harris,DET,16000000,14800000,,,,,Bird Rights,30800000
121,Jon Leuer,DET,10497319,10002681,9508043,,,,Cap Space,30008043
136,Avery Bradley,DET,8808989,,,,,,Bird Rights,8808989
160,Boban Marjanovic,DET,7000000,7000000,,,,,Cap Space,14000000
164,Langston Galloway,DET,6666667,7000000,7333333,,,,MLE,21000000
177,Ish Smith,DET,6000000,6000000,,,,,Cap Space,12000000
193,Josh Smith,DET,5400000,5400000,5400000,,,,,16200000
248,Anthony Tolliver,DET,3290000,,,,,,Bi-annual Exception,3290000
253,Stanley Johnson,DET,3097800,3940402,,,,,1st round pick,7038202
267,Luke Kennard,DET,2759280,3275280,3827160,5273826,,,1st Round Pick,6034560
277,Reggie Bullock,DET,2500000,2500000,,,,,Cap space,2500000
343,Henry Ellenson,DET,1780800,1857480,2856804,,,,1st Round pick,3638280
344,Eric Moreland,DET,1739333,1826300,1913267,,,,MLE,1000000
480,Michael Gbinije,DET,500000,,,,,,,500000
481,Aaron Gray,DET,452059,,,,,,,452059
1,Stephen Curry,GSW,34682550,37457154,40231758,43006362,45780966,,Bird Rights,201158790
16,Kevin Durant,GSW,25000000,26250000,,,,,Non-Bird Rights,25000000
53,Klay Thompson,GSW,17826150,18988725,,,,,1st Round Pick,36814875
65,Draymond Green,GSW,16400000,17469565,18539130,,,,Bird Rights,52408695
75,Andre Iguodala,GSW,14814815,16000000,17185185,,,,Bird Rights,48000000
146,Shaun Livingston,GSW,7692308,8307692,7692308,,,,Bird Rights,18000000
198,Nick Young,GSW,5192000,,,,,,MLE,5192000
238,Zaza Pachulia,GSW,3477600,,,,,,,3477600
296,David West,GSW,2328652,,,,,,Minimum Salary,2328652
320,JaVale McGee,GSW,2116955,,,,,,,2116955
324,Omri Casspi,GSW,2106470,,,,,,Minimum Salary,2106470
391,Kevon Looney,GSW,1471382,,,,,,1st Round pick,1471382
413,Damian Jones,GSW,1312611,1544951,2305057,,,,1st Round pick,2857562
425,Patrick McCaw,GSW,1312611,,,,,,Minimum Salary,1312611
455,Jason Thompson,GSW,945126,945126,,,,,,1890252
458,Jordan Bell,GSW,815615,1378252,,,,,Minimum Salary,2193867
9,James Harden,HOU,28299399,30431854,37800000,40824000,43848000,,Bird Rights,181203253
18,Chris Paul,HOU,24599495,,,,,,Bird Rights,24599495
42,Ryan Anderson,HOU,19578455,20421546,21264635,,,,Cap Space,61264636
92,Eric Gordon,HOU,12943020,13500375,14057730,,,,Cap Space,40501125
148,P.J. Tucker,HOU,7590035,7969537,8349039,7969537,,,MLE,26477799
152,Trevor Ariza,HOU,7420912,,,,,,Bird Rights,7420912
237,Nene Hilario,HOU,3477600,3651480,3825360,,,,Non-Bird Rights,10954440
247,Tarik Black,HOU,3290000,,,,,,Bi-annual Exception,3290000
289,Clint Capela,HOU,2334520,,,,,,1st Round Pick,2334520
319,Luc Mbah a Moute,HOU,2116955,,,,,,Minimum Salary,2116955
