Rk,Player,Tm,Salary17to18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
410,A.J. Hammons,MIA,1312611,1544951,,,,,Cap Space,2857562
421,Okaro White,MIA,1312611,,,,,,Minimum Salary,1312611
422,Rodney McGruder,MIA,1312611,1544951,,,,,Minimum Salary,1312611
33,Giannis Antetokounmpo,MIL,22471910,24157303,25842697,27528090,,,1st Round Pick,100000000
78,Eric Bledsoe,MIL,14500000,15000000,,,,,Bird Rights,29500000
82,Khris Middleton,MIL,14100000,13000000,13000000,,,,Bird Rights,27100000
109,John Henson,MIL,11422536,10577466,9732396,,,,1st Round Pick,31732398
119,Mirza Teletovic,MIL,10500000,10500000,,,,,Cap Space,21000000
128,Tony Snell,MIL,9821429,10607143,11392857,12178571,,,Cap space,31821429
130,Matthew Dellavedova,MIL,9607500,9607500,9607500,,,,Cap Space,28822500
163,Jabari Parker,MIL,6782392,,,,,,1st Round Pick,6782392
175,Spencer Hawes,MIL,6021175,,,,,,,6021175
270,Thon Maker,MIL,2684160,2799720,3569643,,,,1st Round pick,5483880
294,Jason Terry,MIL,2328652,,,,,,Minimum Salary,2328652
313,D.J. Wilson,MIL,2135040,2534280,2961120,4548280,,,1st Round Pick,4669320
336,Rashad Vaughn,MIL,1889040,,,,,,1st round pick,1889040
339,Larry Sanders,MIL,1865547,1865547,1865547,1865547,1865547,,,9327735
362,DeAndre Liggins,MIL,1577230,,,,,,,
420,Malcolm Brogdon,MIL,1312611,1544951,,,,,Cap Space,1312611
460,Sterling Brown,MIL,815615,1378242,1618520,,,,MLE,2193857
499,Jalen Moore,MIL,50000,,,,,,,50000
45,Jimmy Butler,MIN,19301070,20445779,19841627,,,,Bird Rights,39746849
46,Jeff Teague,MIN,19000000,19000000,19000000,,,,Cap space,38000000
81,Gorgui Dieng,MIN,14112360,15170787,16229213,17287640,,,1st Round Pick,62800000
84,Taj Gibson,MIN,14000000,14000000,,,,,Cap space,28000000
107,Nikola Pekovic,MIN,11600000,,,,,,,11600000
150,Andrew Wiggins,MIN,7574322,25250000,27270000,29290000,31310000,,1st Round Pick,154024322
155,Cole Aldrich,MIN,7300000,6956021,,,,,Cap Space,9356021
172,Karl-Anthony Towns,MIN,6216840,7839435,,,,,1st round pick,6216840
216,Jamal Crawford,MIN,4328000,4544400,,,,,Room Exception,4328000
227,Nemanja Bjelica,MIN,3949999,,,,,,MLE,3949999
306,Justin Patton,MIN,2247480,2667600,3117240,4781846,,,1st Round Pick,4915080
318,Aaron Brooks,MIN,2116955,,,,,,,2116955
360,Shabazz Muhammad,MIN,1577230,1795015,,,,,Minimum Salary,1577230
